acotr id,name,dob ,gender, movie id
Act_1,CCH Pounder,2/27/1979,Female,Mov_131
Act_2,Johnny Depp,7/2/1980,Male,Mov_750
Act_3,Christoph Waltz,5/25/1983,Male,Mov_740
Act_4,Tom Hardy,9/25/1954,Male,Mov_569
Act_5,Doug Walker,2/25/2008,Male,Mov_952
Act_6,Daryl Sabara,12/11/1979,Male,Mov_264
Act_7,J.K. Simmons,11/12/1990,Male,Mov_77
Act_8,Brad Garrett,10/12/2006,Male,Mov_344
Act_9,Chris Hemsworth,3/2/1988,Female,Mov_256
Act_10,Alan Rickman,1/30/1975,Male,Mov_360
Act_11,Henry Cavill,12/4/1993,Female,Mov_873
Act_12,Kevin Spacey,6/16/2007,Male,Mov_303
Act_13,Giancarlo Giannini,7/23/1990,Male,Mov_258
Act_14,Peter Dinklage,8/31/1963,Female,Mov_471
Act_15,Will Smith,1/12/2004,Female,Mov_422
Act_16,Aidan Turner,1/21/1992,Male,Mov_966
Act_17,Emma Stone,3/22/2006,Female,Mov_391
Act_18,Mark Addy,5/13/1974,Female,Mov_834
Act_19,Christopher Lee,4/12/1971,Male,Mov_311
Act_20,Naomi Watts,9/22/1983,Female,Mov_942
Act_21,Leonardo DiCaprio,4/20/1966,Male,Mov_179
Act_22,Robert Downey Jr.,7/3/1994,Male,Mov_292
Act_23,Liam Neeson,3/4/1968,Female,Mov_536
Act_24,Bryce Dallas Howard,3/6/1954,Female,Mov_409
Act_25,Albert Finney,2/17/2010,Male,Mov_187
Act_26,Hugh Jackman,2/23/1963,Male,Mov_195
Act_27,Steve Buscemi,7/3/1957,Female,Mov_441
Act_28,Glenn Morshower,11/1/2003,Female,Mov_365
Act_29,Bingbing Li,8/19/1950,Male,Mov_648
Act_30,Tim Holmes,2/17/1980,Male,Mov_797
Act_31,Jeff Bridges,10/28/1970,Male,Mov_161
Act_32,Joe Mantegna,8/7/1980,Female,Mov_96
Act_33,Ryan Reynolds,4/1/2006,Male,Mov_243
Act_34,Tom Hanks,6/11/1971,Male,Mov_958
Act_35,Christian Bale,3/12/1993,Female,Mov_939
Act_36,Jason Statham,9/20/2002,Male,Mov_991
Act_37,Peter Capaldi,2/27/1998,Male,Mov_319
Act_38,Jennifer Lawrence,3/1/1973,Female,Mov_809
Act_39,Benedict Cumberbatch,8/27/1954,Male,Mov_36
Act_40,Eddie Marsan,9/8/1954,Male,Mov_252
Act_41,Jake Gyllenhaal,10/23/1963,Male,Mov_287
Act_42,Charlie Hunnam,10/24/1953,Female,Mov_597
Act_43,Harrison Ford,5/9/1953,Male,Mov_432
Act_44,A.J. Buckley,12/4/1988,Female,Mov_556
Act_45,Kelly Macdonald,9/28/1967,Female,Mov_456
Act_46,Sofia Boutella,8/13/2002,Female,Mov_497
Act_47,John Ratzenberger,11/25/1985,Male,Mov_931
Act_48,Tzi Ma,12/28/1997,Female,Mov_103
Act_49,Oliver Platt,4/11/1966,Female,Mov_688
Act_50,Robin Wright,10/3/1965,Female,Mov_79
Act_51,Channing Tatum,3/27/1955,Female,Mov_833
Act_52,Jim Broadbent,8/16/2004,Female,Mov_929
Act_53,Amy Poehler,5/1/1975,Male,Mov_556
Act_54,Chloe Grace Moretz,2/5/2010,Male,Mov_683
Act_55,Jet Li,3/26/2008,Male,Mov_429
Act_56,Jimmy Bennett,9/12/1964,Male,Mov_358
Act_57,Tom Cruise,10/21/1974,Male,Mov_747
Act_58,Jeanne Tripplehorn,2/2/1964,Male,Mov_351
Act_59,Joseph Gordon-Levitt,12/20/1983,Female,Mov_977
Act_60,Scarlett Johansson,1/3/1959,Male,Mov_837
Act_61,Angelina Jolie Pitt,11/6/1970,Female,Mov_446
Act_62,Gary Oldman,10/19/1996,Male,Mov_904
Act_63,Tamsin Egerton,9/19/1992,Male,Mov_354
Act_64,Keanu Reeves,8/30/1999,Male,Mov_584
Act_65,Jon Hamm,11/19/1995,Female,Mov_583
Act_66,Judy Greer,4/23/2002,Female,Mov_506
Act_67,Damon Wayans Jr.,10/15/1959,Female,Mov_979
Act_68,Jack McBrayer,2/22/1990,Male,Mov_876
