mov ID,Date,movie_language,movie_totalcost,movie_country,movie_title,moviegenres,DirctorID,actorID
Mov_1,5/24/2014,English,237000000,USA,AvatarÂ ,Action|Adventure|Fantasy|Sci-Fi,Dir_243,Act_141
Mov_2,7/23/2016,English,300000000,USA,Pirates of the Caribbean: At World's EndÂ ,Action|Adventure|Fantasy,Dir_65,Act_66
Mov_3,4/8/2010,English,245000000,UK,SpectreÂ ,Action|Adventure|Thriller,Dir_92,Act_105
Mov_4,1/9/2011,English,250000000,USA,The Dark Knight RisesÂ ,Action|Thriller,Dir_399,Act_114
Mov_5,5/22/2014,English,17700000,USA,Star Wars: Episode VII - The Force AwakensÂ             ,Documentary,Dir_423,Act_1
Mov_6,8/19/2014,English,263700000,USA,John CarterÂ ,Action|Adventure|Sci-Fi,Dir_232,Act_56
Mov_7,5/31/2014,English,258000000,USA,Spider-Man 3Â ,Action|Adventure|Romance,Dir_4,Act_94
Mov_8,2/23/2012,English,260000000,USA,TangledÂ ,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Dir_264,Act_23
Mov_9,12/22/2012,English,250000000,USA,Avengers: Age of UltronÂ ,Action|Adventure|Sci-Fi,Dir_43,Act_25
Mov_10,2/4/2011,English,250000000,UK,Harry Potter and the Half-Blood PrinceÂ ,Adventure|Family|Fantasy|Mystery,Dir_96,Act_145
Mov_11,6/24/2013,English,250000000,USA,Batman v Superman: Dawn of JusticeÂ ,Action|Adventure|Sci-Fi,Dir_163,Act_100
Mov_12,12/14/2013,English,209000000,USA,Superman ReturnsÂ ,Action|Adventure|Sci-Fi,Dir_433,Act_142
Mov_13,12/17/2010,English,200000000,UK,Quantum of SolaceÂ ,Action|Adventure,Dir_398,Act_122
Mov_14,1/6/2010,English,225000000,USA,Pirates of the Caribbean: Dead Man's ChestÂ ,Action|Adventure|Fantasy,Dir_208,Act_22
Mov_15,9/9/2015,English,215000000,USA,The Lone RangerÂ ,Action|Adventure|Western,Dir_136,Act_55
Mov_16,6/8/2011,English,225000000,USA,Man of SteelÂ ,Action|Adventure|Fantasy|Sci-Fi,Dir_135,Act_17
Mov_17,6/28/2011,English,225000000,USA,The Chronicles of Narnia: Prince CaspianÂ ,Action|Adventure|Family|Fantasy,Dir_206,Act_52
Mov_18,11/23/2010,English,220000000,USA,The AvengersÂ ,Action|Adventure|Sci-Fi,Dir_377,Act_124
Mov_19,8/1/2011,English,250000000,USA,Pirates of the Caribbean: On Stranger TidesÂ ,Action|Adventure|Fantasy,Dir_281,Act_46
Mov_20,11/11/2014,English,225000000,USA,Men in Black 3Â ,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Dir_2,Act_66
Mov_21,1/23/2014,English,250000000,New Zealand,The Hobbit: The Battle of the Five ArmiesÂ ,Adventure|Fantasy,Dir_211,Act_19
Mov_22,6/25/2015,English,230000000,USA,The Amazing Spider-ManÂ ,Action|Adventure|Fantasy,Dir_196,Act_150
Mov_23,9/14/2014,English,200000000,USA,Robin HoodÂ ,Action|Adventure|Drama|History,Dir_268,Act_106
Mov_24,11/20/2015,English,225000000,USA,The Hobbit: The Desolation of SmaugÂ ,Adventure|Fantasy,Dir_220,Act_137
Mov_25,3/30/2014,English,180000000,USA,The Golden CompassÂ ,Adventure|Family|Fantasy,Dir_312,Act_137
Mov_26,12/14/2010,English,207000000,New Zealand,King KongÂ ,Action|Adventure|Drama|Romance,Dir_456,Act_134
Mov_27,3/18/2014,English,200000000,USA,TitanicÂ ,Drama|Romance,Dir_316,Act_58
Mov_28,5/13/2014,English,250000000,USA,Captain America: Civil WarÂ ,Action|Adventure|Sci-Fi,Dir_374,Act_43
Mov_29,2/2/2013,English,209000000,USA,BattleshipÂ ,Action|Adventure|Sci-Fi|Thriller,Dir_97,Act_5
Mov_30,10/25/2012,English,150000000,USA,Jurassic WorldÂ ,Action|Adventure|Sci-Fi|Thriller,Dir_405,Act_93
Mov_31,5/1/2010,English,200000000,UK,SkyfallÂ ,Action|Adventure|Thriller,Dir_494,Act_29
Mov_32,7/3/2011,English,200000000,USA,Spider-Man 2Â ,Action|Adventure|Fantasy|Romance,Dir_282,Act_19
Mov_33,1/10/2010,English,200000000,USA,Iron Man 3Â ,Action|Adventure|Sci-Fi,Dir_49,Act_57
Mov_34,9/26/2016,English,200000000,USA,Alice in WonderlandÂ ,Adventure|Family|Fantasy,Dir_487,Act_116
Mov_35,12/23/2012,English,210000000,Canada,X-Men: The Last StandÂ ,Action|Adventure|Fantasy|Sci-Fi|Thriller,Dir_123,Act_15
Mov_36,8/8/2010,English,200000000,USA,Monsters UniversityÂ ,Adventure|Animation|Comedy|Family|Fantasy,Dir_46,Act_87
Mov_37,6/18/2016,English,200000000,USA,Transformers: Revenge of the FallenÂ ,Action|Adventure|Sci-Fi,Dir_265,Act_51
Mov_38,6/23/2013,English,210000000,USA,Transformers: Age of ExtinctionÂ ,Action|Adventure|Sci-Fi,Dir_481,Act_103
Mov_39,2/15/2010,English,215000000,USA,Oz the Great and PowerfulÂ ,Adventure|Family|Fantasy,Dir_242,Act_65
Mov_40,6/20/2014,English,200000000,USA,The Amazing Spider-Man 2Â ,Action|Adventure|Fantasy|Sci-Fi,Dir_215,Act_106
Mov_41,5/7/2012,English,170000000,USA,TRON: LegacyÂ ,Action|Adventure|Sci-Fi,Dir_350,Act_98
Mov_42,4/29/2014,English,200000000,USA,Cars 2Â ,Adventure|Animation|Comedy|Family|Sport,Dir_168,Act_127
Mov_43,3/16/2012,English,200000000,USA,Green LanternÂ ,Action|Adventure|Sci-Fi,Dir_62,Act_32
Mov_44,12/25/2016,English,200000000,USA,Toy Story 3Â ,Adventure|Animation|Comedy|Family|Fantasy,Dir_116,Act_116
Mov_45,5/28/2016,English,200000000,USA,Terminator SalvationÂ ,Action|Adventure|Sci-Fi,Dir_241,Act_43
Mov_46,1/8/2013,English,190000000,USA,Furious 7Â ,Action|Crime|Thriller,Dir_338,Act_137
Mov_47,2/19/2010,English,190000000,USA,World War ZÂ ,Action|Adventure|Horror|Sci-Fi|Thriller,Dir_330,Act_102
Mov_48,7/19/2011,English,200000000,USA,X-Men: Days of Future PastÂ ,Action|Adventure|Fantasy|Sci-Fi|Thriller,Dir_198,Act_31
Mov_49,12/25/2015,English,190000000,USA,Star Trek Into DarknessÂ ,Action|Adventure|Sci-Fi,Dir_39,Act_23
Mov_50,3/23/2011,English,195000000,USA,Jack the Giant SlayerÂ ,Adventure|Fantasy,Dir_441,Act_33
Mov_51,8/5/2016,English,105000000,Australia,The Great GatsbyÂ ,Drama|Romance,Dir_490,Act_22
Mov_52,10/10/2015,English,200000000,USA,Prince of Persia: The Sands of TimeÂ ,Action|Adventure|Fantasy|Romance,Dir_495,Act_82
Mov_53,7/13/2010,English,190000000,USA,Pacific RimÂ ,Action|Adventure|Sci-Fi,Dir_256,Act_111
Mov_54,2/11/2016,English,195000000,USA,Transformers: Dark of the MoonÂ ,Action|Adventure|Sci-Fi,Dir_234,Act_75
Mov_55,9/20/2013,English,185000000,USA,Indiana Jones and the Kingdom of the Crystal SkullÂ ,Action|Adventure|Fantasy,Dir_30,Act_51
Mov_56,1/31/2015,English,17700000,USA,The Good DinosaurÂ ,Adventure|Animation|Comedy|Family|Fantasy,Dir_127,Act_79
Mov_57,5/6/2012,English,185000000,USA,BraveÂ ,Adventure|Animation|Comedy|Family|Fantasy,Dir_155,Act_142
Mov_58,10/1/2013,English,185000000,USA,Star Trek BeyondÂ ,Action|Adventure|Sci-Fi|Thriller,Dir_318,Act_77
Mov_59,11/8/2010,English,180000000,USA,WALLÂ·EÂ ,Adventure|Animation|Family|Sci-Fi,Dir_227,Act_84
Mov_60,9/7/2013,English,140000000,USA,Rush Hour 3Â ,Action|Comedy|Crime|Thriller,Dir_305,Act_62
Mov_61,9/2/2016,English,200000000,USA,2012Â ,Action|Adventure|Sci-Fi,Dir_330,Act_113
Mov_62,8/23/2012,English,200000000,USA,A Christmas CarolÂ ,Animation|Drama|Family|Fantasy,Dir_23,Act_63
Mov_63,11/30/2011,English,176000000,USA,Jupiter AscendingÂ ,Action|Adventure|Sci-Fi,Dir_120,Act_100
Mov_64,12/12/2014,English,180000000,USA,The Legend of TarzanÂ ,Action|Adventure|Drama|Romance,Dir_385,Act_72
Mov_65,4/4/2013,English,180000000,USA,"The Chronicles of Narnia: The Lion, the Witch and the WardrobeÂ ",Adventure|Family|Fantasy,Dir_380,Act_43
Mov_66,8/29/2011,English,178000000,USA,X-Men: ApocalypseÂ ,Action|Adventure|Sci-Fi,Dir_221,Act_147
Mov_67,4/15/2013,English,185000000,USA,The Dark KnightÂ ,Action|Crime|Drama|Thriller,Dir_128,Act_97
Mov_68,8/17/2013,English,175000000,USA,UpÂ ,Adventure|Animation|Comedy|Family,Dir_61,Act_15
Mov_69,5/11/2011,English,175000000,USA,Monsters vs. AliensÂ ,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Dir_106,Act_129
Mov_70,10/6/2014,English,140000000,USA,Iron ManÂ ,Action|Adventure|Sci-Fi,Dir_165,Act_101
Mov_71,10/29/2016,English,170000000,USA,HugoÂ ,Adventure|Drama|Family|Mystery,Dir_61,Act_66
Mov_72,5/23/2010,English,170000000,USA,Wild Wild WestÂ ,Action|Comedy|Sci-Fi|Western,Dir_120,Act_137
Mov_73,5/14/2010,English,145000000,USA,The Mummy: Tomb of the Dragon EmperorÂ ,Action|Adventure|Fantasy|Horror|Thriller,Dir_93,Act_136
Mov_74,7/12/2014,English,175000000,USA,Suicide SquadÂ ,Action|Adventure|Comedy|Sci-Fi,Dir_86,Act_84
Mov_75,1/25/2012,English,175000000,USA,Evan AlmightyÂ ,Comedy|Family|Fantasy,Dir_369,Act_114
Mov_76,3/18/2011,English,178000000,USA,Edge of TomorrowÂ ,Action|Adventure|Sci-Fi,Dir_15,Act_134
Mov_77,4/12/2014,English,175000000,USA,WaterworldÂ ,Action|Adventure|Sci-Fi|Thriller,Dir_457,Act_51
Mov_78,1/8/2012,English,175000000,USA,G.I. Joe: The Rise of CobraÂ ,Action|Adventure|Sci-Fi|Thriller,Dir_298,Act_130
Mov_79,9/5/2016,English,175000000,USA,Inside OutÂ ,Adventure|Animation|Comedy|Drama|Family|Fantasy,Dir_329,Act_37
Mov_80,5/20/2015,English,175000000,UK,The Jungle BookÂ ,Adventure|Drama|Family|Fantasy,Dir_68,Act_112
Mov_81,6/7/2014,English,200000000,USA,Iron Man 2Â ,Action|Adventure|Sci-Fi,Dir_55,Act_130
Mov_82,2/12/2016,English,170000000,USA,Snow White and the HuntsmanÂ ,Action|Adventure|Drama|Fantasy,Dir_317,Act_81
Mov_83,5/6/2013,English,180000000,USA,MaleficentÂ ,Action|Adventure|Family|Fantasy|Romance,Dir_104,Act_11
Mov_84,4/19/2011,English,170000000,USA,Dawn of the Planet of the ApesÂ ,Action|Adventure|Drama|Sci-Fi,Dir_21,Act_136
Mov_85,8/23/2010,English,17700000,Belgium,The LoversÂ ,Action|Adventure|Romance|Sci-Fi,Dir_46,Act_46
Mov_86,1/12/2011,English,175000000,USA,47 RoninÂ ,Action|Adventure|Drama|Fantasy,Dir_83,Act_20
Mov_87,12/4/2015,English,170000000,USA,Captain America: The Winter SoldierÂ ,Action|Adventure|Sci-Fi,Dir_125,Act_86
Mov_88,7/2/2012,English,165000000,USA,Shrek Forever AfterÂ ,Adventure|Animation|Comedy|Family|Fantasy,Dir_87,Act_66
Mov_89,8/18/2015,English,190000000,USA,TomorrowlandÂ ,Action|Adventure|Family|Mystery|Sci-Fi,Dir_20,Act_145
Mov_90,2/6/2015,English,165000000,USA,Big Hero 6Â ,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Dir_464,Act_66
Mov_91,9/2/2016,English,165000000,USA,Wreck-It RalphÂ ,Adventure|Animation|Comedy|Family|Sci-Fi,Dir_386,Act_81
Mov_92,12/28/2014,English,165000000,USA,The Polar ExpressÂ ,Adventure|Animation|Family|Fantasy,Dir_117,Act_79
Mov_93,7/21/2010,English,165000000,USA,Independence Day: ResurgenceÂ ,Action|Adventure|Sci-Fi,Dir_460,Act_35
Mov_94,1/22/2016,English,165000000,USA,How to Train Your DragonÂ ,Adventure|Animation|Family|Fantasy,Dir_415,Act_51
Mov_95,1/23/2016,English,200000000,USA,Terminator 3: Rise of the MachinesÂ ,Action|Sci-Fi,Dir_330,Act_148
Mov_96,2/13/2012,English,170000000,USA,Guardians of the GalaxyÂ ,Action|Adventure|Sci-Fi,Dir_407,Act_91
Mov_97,5/30/2015,English,165000000,USA,InterstellarÂ ,Adventure|Drama|Sci-Fi,Dir_182,Act_69
